237,Jaws,1975,8.015
238,In the Mood for Love,2000,8.014
239,The Help,2011,8.013
240,Paris, Texas,1984,8.012
241,Infernal Affairs,2002,8.011
242,The Best Years of Our Lives,1946,8.01
243,Twelve Monkeys,1995,8.01
244,Gangs of Wasseypur,2012,8.01
245,Before Sunset,2004,8.01
246,Beauty and the Beast,1991,8.01
247,Three Colors: Red,1994,8.01
248,Dog Day Afternoon,1975,8.01
249,Tangerines,2013,8.009
250,Akira,1988,8.009
